6732 | duc | vn058 | VietJack | ho chi minh | hue | mot chieu | pho thong | 14 5 12 2024 9 0 6 12 2024 1 0 1200000
221122 | nguyen van ha | vn666 | VietnamAirline | ha noi | ho chi minh | khu hoi | thuong gia | 5 30 11 2024 12 0 3 12 2024 5 0 3000000
221122 | nguyen van ha | vn346 | VietJack | ho chi minh | ha noi | khu hoi | thuong gia | 3 10 12 2024 8 0 14 12 2024 6 0 2750000
12345 | nguyen van a | vn666 | VietnamAirline | ha noi | ho chi minh | khu hoi | pho thong | 16 30 11 2024 12 0 3 12 2024 5 0 1500000
12345 | nguyen van a | vn346 | VietJack | ho chi minh | ha noi | khu hoi | thuong gia | 5 10 12 2024 8 0 14 12 2024 6 0 2750000
819374 | dung | vn666 | VietnamAirline | ha noi | ho chi minh | khu hoi | pho thong | 18 30 11 2024 12 0 3 12 2024 5 0 1500000
819374 | dung | vn346 | VietJack | ho chi minh | ha noi | khu hoi | pho thong | 29 10 12 2024 8 0 14 12 2024 6 0 1250000
842335 | nghia | vn666 | VietnamAirline | ha noi | ho chi minh | khu hoi | pho thong | 14 30 11 2024 12 0 3 12 2024 5 0 1500000
842335 | nghia | vn346 | VietJack | ho chi minh | ha noi | khu hoi | pho thong | 28 10 12 2024 8 0 14 12 2024 6 0 1250000
217412 | linh | vn666 | VietnamAirline | ha noi | ho chi minh | khu hoi | pho thong | 11 30 11 2024 12 0 3 12 2024 5 0 1500000
217412 | linh | vn346 | VietJack | ho chi minh | ha noi | khu hoi | thuong gia | 8 10 12 2024 8 0 14 12 2024 6 0 2750000
124415 | dinh | vn666 | VietnamAirline | ha noi | ho chi minh | khu hoi | pho thong | 23 30 11 2024 12 0 3 12 2024 5 0 1500000
124415 | dinh | vn346 | VietJack | ho chi minh | ha noi | khu hoi | pho thong | 30 10 12 2024 8 0 14 12 2024 6 0 1250000
6732 | duc | vn076 | VietJet | ho chi minh | nha trang | khu hoi | pho thong | 25 2 12 2024 7 0 4 12 2024 8 0 1000000
6732 | duc | vn086 | VietnamAirline | nha trang | ho chi minh | khu hoi | pho thong | 24 10 12 2024 5 0 11 12 2024 16 0 1200000
842335 | nghia | vn076 | VietJet | ho chi minh | nha trang | khu hoi | pho thong | 12 2 12 2024 7 0 4 12 2024 8 0 1000000
842335 | nghia | vn086 | VietnamAirline | nha trang | ho chi minh | khu hoi | pho thong | 23 10 12 2024 5 0 11 12 2024 16 0 1200000
217412 | linh | vn076 | VietJet | ho chi minh | nha trang | khu hoi | pho thong | 23 2 12 2024 7 0 4 12 2024 8 0 1000000
217412 | linh | vn086 | VietnamAirline | nha trang | ho chi minh | khu hoi | pho thong | 26 10 12 2024 5 0 11 12 2024 16 0 1200000
819374 | dung | vn076 | VietJet | ho chi minh | nha trang | khu hoi | pho thong | 22 2 12 2024 7 0 4 12 2024 8 0 1000000
819374 | dung | vn086 | VietnamAirline | nha trang | ho chi minh | khu hoi | thuong gia | 2 10 12 2024 5 0 11 12 2024 16 0 2400000
12875 | phat | vn076 | VietJet | ho chi minh | nha trang | khu hoi | pho thong | 28 2 12 2024 7 0 4 12 2024 8 0 1000000
12875 | phat | vn086 | VietnamAirline | nha trang | ho chi minh | khu hoi | thuong gia | 4 10 12 2024 5 0 11 12 2024 16 0 2400000
93812 | nam | vn076 | VietJet | ho chi minh | nha trang | khu hoi | pho thong | 24 2 12 2024 7 0 4 12 2024 8 0 1000000
93812 | nam | vn086 | VietnamAirline | nha trang | ho chi minh | khu hoi | pho thong | 25 10 12 2024 5 0 11 12 2024 16 0 1200000
